@lat,@lon,name,amenity
54.4209492,18.4790736,Szkoła Podstawowa nr 33 im. Stefana Banacha w Gdańsku,school
54.3425302,18.5655726,,kindergarten
54.3427741,18.5506999,Bajeczne Przedszkola,kindergarten
54.3607062,18.6448988,"Akademickie Liceum Ogólnokształcące ""Lingwista""",school
54.4208604,18.4791667,XXIV Liceum Ogólnokształcące im. Stefana Banacha,school
54.3518258,18.5331573,Wiszący Ogródek,kindergarten
54.3501497,18.5628412,,kindergarten
54.3504225,18.5308403,Słoneczny Ogród,kindergarten
54.4023481,18.6045206,Szkoła Podstawowa nr 5 im. Jana Pawła II,school
54.4020343,18.6042732,XIV Liceum Ogólnokształcące im. Jana Pawła II,school
54.3449666,18.8296102,Szkoła Podstawowa Nr 87,school
54.3517583,18.5732062,Przedszkole Niepubliczne Bajkoland,kindergarten
54.3326083,18.5972842,Morskie Przedszkole Niepubliczne,kindergarten
54.4221276,18.4782263,Szkoła języków europejskich Universus,school
54.3790900,18.6060501,Szkoła Muzyczna 1 stopnia imienia Grażyny Bacewicz,school
54.3324116,18.5971177,Morska  Szkoła Podstawowa im.Aleksandra Doby w Gdańsku,school
54.3313254,18.5574191,Kotek Mamrotek,kindergarten
54.3664617,18.6301927,Iskierka,kindergarten
54.3188757,18.5847376,Bajkowy Domek,kindergarten
54.3962371,18.5902802,Przedszkole,kindergarten
54.4029158,18.5701650,Biały Kotek,kindergarten
54.3257583,18.6007855,Chrześcijańskie Przedszkole Montessori nr 2,kindergarten
54.3256758,18.6006044,Chrześcijańska Szkoła Montessori nr 2,school
54.3488274,18.5586746,Przedszkole Tygryskowa Kraina,kindergarten
54.4048997,18.5759790,"Przedszkole niepubliczne ""Little Harvard""",kindergarten
54.3768597,18.6053030,Przedszkole Niepubliczne Językowo – Muzyczne Calineczka,kindergarten
54.3971132,18.5950255,MegaMocni,kindergarten
54.3555720,18.6148147,MegaMocni,kindergarten
54.3565722,18.5913228,I Gdańskie Liceum Katolickie im. św. Wojciecha,school
54.3565313,18.5915156,Katolicka Szkoła Podstawowa im. Św. Wojciecha,school
54.3836911,18.5912426,Żyrafa,kindergarten
54.3451267,18.8298842,Przedszkole ne 61,kindergarten
54.3525221,18.6738275,Szkoła Podstawowa Mistrzostwa Sportowego nr 94,school
54.3522575,18.6738679,VI Liceum Ogólnokształcące im. Obrońców Helu,school
54.3760001,18.6205450,Niepubliczne Przedszkole Lew Leon,kindergarten
54.4116454,18.5933336,Przedszkole Specjalne Nr 72 o Profilu Terapeutycznym,kindergarten
54.3338377,18.5423695,Publiczne Pozytywne Przedszkole nr 7,kindergarten
54.3535085,18.6028627,Szkoła Podstawowa nr 42 w Gdańsku,school
54.3534451,18.6028627,Przedszkole nr 73 w Gdańsku,kindergarten
54.3403776,18.6222678,Szkoła Podstawowa nr 3,school
54.3608130,18.6104576,Technikum nr 1 w Gdańsku,school
54.3607517,18.6104909,Szkoła Branżowa I Stopnia nr 1 w Gdańsku,school
54.3578366,18.5883182,Mali Zwyciezcy,kindergarten
54.3930634,18.6098754,Wesoła kraina,kindergarten
54.3503952,18.5339230,Elf Kids,kindergarten
54.4106215,18.6007285,Punkt Przedszkolny Słowiańska Wieża,kindergarten
54.3512182,18.5506996,Przedszkole Niepubliczne Marchewka,kindergarten
54.3879163,18.5743712,Szkoła Podstawowa nr 70 z Oddziałami Sportowymi,school
54.4098118,18.5973682,Przedszkole MoreLove,kindergarten
54.3943141,18.6438143,Smart Kids 2 - Nowa Letnica,kindergarten
54.3932070,18.6198333,No Stress,kindergarten
54.4309174,18.4783906,Przedszkole publiczne Octopus,kindergarten
54.3491467,18.5821252,Przedszkole Martolandia,kindergarten
54.3871865,18.5900125,Klub Dziecięcy Esy Floresy,kindergarten
54.3919074,18.6004232,9 Miesięcy,school
54.3509511,18.5865927,Smart Kids,kindergarten
54.3686898,18.6382413,Mental Arts,school
54.3637033,18.5823821,Teddy,kindergarten
54.3638556,18.5824706,Leśny Żłobek i Przedszkole,kindergarten
54.3590583,18.5823363,Fantazja,kindergarten
54.3824285,18.5861305,A-KuKu,kindergarten
54.3503047,18.6253598,"Przedszkole Niepubliczne ""Sokrates""",school
54.3503372,18.6256426,"Niepubliczna Szkoła Podstawowa ""Sokrates""",school
54.3846955,18.5814269,MegaMocni,kindergarten
54.3816765,18.5863731,Smykowo,kindergarten
54.4222240,18.5898510,Nadmorskie Przedszkole Montessori,kindergarten
54.3899408,18.6422418,Bursztynowy Kompas,kindergarten
54.3675322,18.6921050,MegaMocni,kindergarten
54.3234811,18.5518117,MegaMocni,kindergarten
54.3689375,18.6106721,MegaMocni,kindergarten
54.4052405,18.6447963,Szkoła Podstawowa nr 18,school
54.4049877,18.6445661,XXIII Liceum Ogólnokształcące,school
54.4197647,18.5732553,XII Sportowe Liceum Ogólnokształcące z Oddziałami Mistrzostwa Sportowego im. Janusza Kusocińskiego,school
54.4195351,18.5732251,Sportowa Szkoła Podstawowa nr 75 z Oddziałami Mistrzostwa Sportowego im. Janusza Kusocińskiego,school
54.3398368,18.6222562,VII Liceum Ogólnokształcące im. Józefa Wybickiego,school
54.3489969,18.5669586,Przedszkole Fahrenheita,kindergarten
